"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-1403243","Daycare (centre-based or home-based)","Yes","No"
"26-1863237","Daycare (centre-based or home-based)","Yes","No"
"26-1365565","Care in child’s home by a non-relative","Yes","Yes"
"26-1381288","Care in child’s home by a non-relative","Yes","No"
"26-2525539","Care in someone’s home by a non-relative","Yes","Yes"
"26-3465623","Daycare (centre-based or home-based)","Yes","Yes"
"26-1364766","Care in someone’s home by a non-relative","Yes","No"
"26-1373401","Care in someone’s home by a non-relative","No","Yes"
"26-3811059","Care in someone’s home by a non-relative","Yes","No"
"26-1388706","Care in someone’s home by a non-relative","No","No"
"26-1397764","Care in someone’s home by a non-relative","Yes","Yes"
"26-2491705","Care in someone’s home by a non-relative","Yes","No"
"26-2984032","Care by a relative","No","Yes"
"26-1353938","Care by a relative","Yes","Yes"
"26-1864860","Care in someone’s home by a non-relative","Yes","No"
"26-2512114","Daycare (centre-based or home-based)","Yes","Yes"
"26-1403578","Care in someone’s home by a non-relative","No","Yes"
"26-1394433","Care by a relative","Yes","No"
"26-3812272","Daycare (centre-based or home-based)","No","Yes"
"26-1386373","Daycare (centre-based or home-based)","Yes","No"
"26-3813481","Care by a relative","No","No"
"26-1406169","Care by a relative","No","No"
"26-1866653","Care in child’s home by a non-relative","No","Yes"
"26-3508477","Care by a relative","No","Yes"
"26-3818413","Care in child’s home by a non-relative","No","No"
"26-1862394","Care in child’s home by a non-relative","Yes","No"
"26-1385864","Care in someone’s home by a non-relative","No","No"
"26-2492820","Care in someone’s home by a non-relative","No","No"
"26-2988148","Care in child’s home by a non-relative","Yes","No"
"26-1367221","Care by a relative","Yes","No"
"26-1405609","Care in child’s home by a non-relative","Yes","No"
"26-3813390","Care in child’s home by a non-relative","No","No"
"26-3824301","Care in child’s home by a non-relative","No","No"
"26-3811915","Care in someone’s home by a non-relative","Yes","Yes"
"26-3826735","Care by a relative","Yes","Yes"
"26-3462714","Care in someone’s home by a non-relative","Yes","No"
"26-3819150","Care in someone’s home by a non-relative","Yes","No"
"26-2525115","Care in child’s home by a non-relative","Yes","No"
"26-2525191","Care in child’s home by a non-relative","Yes","Yes"
"26-2519719","Daycare (centre-based or home-based)","No","Yes"
"26-1388706","Care in child’s home by a non-relative","No","Yes"
"26-2524317","Care in child’s home by a non-relative","No","No"
"26-3505928","Care by a relative","No","Yes"
"26-2497783","Care in someone’s home by a non-relative","Yes","Yes"
"26-3503581","Daycare (centre-based or home-based)","No","No"
"26-1381404","Care by a relative","No","No"
"26-3501229","Daycare (centre-based or home-based)","No","Yes"
"26-3469663","Daycare (centre-based or home-based)","No","Yes"
"26-1383508","Care in child’s home by a non-relative","No","Yes"
"26-1384421","Care by a relative","Yes","No"
"26-1868743","Care in child’s home by a non-relative","No","Yes"
"26-1385229","Care in someone’s home by a non-relative","Yes","No"
"26-1361609","Care in child’s home by a non-relative","Yes","Yes"
"26-2534507","Daycare (centre-based or home-based)","No","Yes"
"26-2511867","Daycare (centre-based or home-based)","Yes","No"
"26-1352051","Care in child’s home by a non-relative","No","No"
"26-2511508","Daycare (centre-based or home-based)","No","No"
"26-2525191","Care in someone’s home by a non-relative","Yes","No"
"26-1354616","Care in someone’s home by a non-relative","Yes","No"
"26-1352464","Care by a relative","Yes","No"
"26-3467118","Care in someone’s home by a non-relative","No","No"
"26-2524662","Care by a relative","Yes","Yes"
"26-2539775","Care by a relative","No","Yes"
"26-2513652","Care by a relative","Yes","Yes"
"26-3826925","Care by a relative","No","Yes"
"26-1365603","Care by a relative","No","Yes"
"26-2528168","Care in child’s home by a non-relative","Yes","Yes"
"26-3468580","Care in child’s home by a non-relative","Yes","Yes"
"26-1398460","Care in someone’s home by a non-relative","Yes","Yes"
"26-2528510","Daycare (centre-based or home-based)","No","Yes"
"26-2517123","Care by a relative","Yes","No"
"26-2529678","Daycare (centre-based or home-based)","No","No"
"26-3812853","Care in child’s home by a non-relative","No","No"
"26-2537625","Daycare (centre-based or home-based)","No","No"
"26-2533341","Care in someone’s home by a non-relative","No","Yes"
"26-3501361","Care in child’s home by a non-relative","No","Yes"
"26-3811290","Care by a relative","Yes","No"
"26-2522151","Care in someone’s home by a non-relative","Yes","Yes"
"26-1409281","Care by a relative","No","No"
"26-1358552","Care by a relative","No","No"
"26-1377534","Care by a relative","No","No"
"26-1363414","Care in child’s home by a non-relative","Yes","No"
"26-1406568","Care in someone’s home by a non-relative","No","Yes"
"26-1396168","Care in child’s home by a non-relative","Yes","Yes"
"26-2492823","Daycare (centre-based or home-based)","No","No"
"26-3501272","Care by a relative","Yes","Yes"
"26-2518021","Care by a relative","Yes","Yes"
"26-1361623","Care in someone’s home by a non-relative","No","Yes"
"26-1386465","Daycare (centre-based or home-based)","Yes","No"
"26-3463455","Care in someone’s home by a non-relative","Yes","Yes"
"26-2499200","Care by a relative","Yes","Yes"
"26-2988655","Care by a relative","No","No"
"26-1352286","Care by a relative","Yes","Yes"
"26-3819460","Daycare (centre-based or home-based)","No","No"
"26-1366340","Care in child’s home by a non-relative","Yes","No"
"26-2524447","Care in someone’s home by a non-relative","No","No"
"26-1397342","Daycare (centre-based or home-based)","No","No"
"26-2535800","Daycare (centre-based or home-based)","No","Yes"
"26-1392018","Care in someone’s home by a non-relative","No","Yes"
"26-1406568","Care by a relative","Yes","No"
"26-3815384","Daycare (centre-based or home-based)","No","No"
"26-3503034","Care by a relative","Yes","No"
"26-1374796","Care by a relative","Yes","No"
"26-1342556","Care by a relative","Yes","Yes"
"26-1353010","Care in child’s home by a non-relative","Yes","Yes"
"26-3501692","Care by a relative","No","No"
"26-3829388","Daycare (centre-based or home-based)","No","No"
"26-1348931","Care in someone’s home by a non-relative","No","No"
"26-1383319","Daycare (centre-based or home-based)","No","No"
"26-3821904","Care in someone’s home by a non-relative","No","No"
"26-2537342","Daycare (centre-based or home-based)","No","Yes"
"26-3814423","Care in someone’s home by a non-relative","Yes","Yes"
"26-2525647","Care by a relative","No","Yes"
"26-1358799","Care in child’s home by a non-relative","Yes","No"
"26-1869419","Care in someone’s home by a non-relative","No","No"
"26-2521560","Care in child’s home by a non-relative","Yes","Yes"
"26-1392311","Daycare (centre-based or home-based)","No","Yes"
"26-1358689","Care by a relative","No","No"
"26-2499200","Care in child’s home by a non-relative","Yes","No"
"26-1401282","Care by a relative","No","Yes"
"26-1405014","Care in child’s home by a non-relative","No","Yes"
"26-3508545","Care in child’s home by a non-relative","No","Yes"
"26-1376003","Care in child’s home by a non-relative","Yes","Yes"
"26-2517372","Care by a relative","No","Yes"
"26-1356956","Care in someone’s home by a non-relative","No","Yes"
"26-2534444","Care by a relative","Yes","No"
"26-3501767","Daycare (centre-based or home-based)","No","No"
"26-1358988","Care in someone’s home by a non-relative","No","Yes"
"26-2539847","Care in someone’s home by a non-relative","Yes","No"
"26-2531226","Care in someone’s home by a non-relative","Yes","Yes"
"26-1346953","Care by a relative","No","No"
"26-2496406","Care in someone’s home by a non-relative","No","No"
"26-2528743","Care by a relative","No","No"
"26-1364872","Care in child’s home by a non-relative","Yes","Yes"
"26-3823872","Care in child’s home by a non-relative","No","No"
"26-1393729","Care in someone’s home by a non-relative","Yes","Yes"
"26-1341145","Care in someone’s home by a non-relative","No","Yes"
"26-3812247","Care in child’s home by a non-relative","No","Yes"
"26-1376240","Care by a relative","No","No"
"26-1394142","Care by a relative","No","Yes"
"26-2982271","Care in child’s home by a non-relative","Yes","Yes"
"26-1371251","Care in someone’s home by a non-relative","Yes","No"
"26-2527133","Daycare (centre-based or home-based)","No","No"
"26-1362027","Care in child’s home by a non-relative","No","Yes"
"26-3819420","Care in child’s home by a non-relative","No","Yes"
"26-1363377","Care in someone’s home by a non-relative","Yes","No"
"26-3813967","Care in someone’s home by a non-relative","Yes","Yes"
"26-2528282","Care by a relative","Yes","Yes"
"26-1379989","Care in someone’s home by a non-relative","Yes","Yes"
"26-3463455","Care in someone’s home by a non-relative","Yes","No"
"26-2519420","Care in child’s home by a non-relative","Yes","Yes"
"26-3469836","Care by a relative","No","No"
"26-1387075","Care by a relative","No","No"
"26-1379020","Daycare (centre-based or home-based)","Yes","Yes"
"26-2516886","Daycare (centre-based or home-based)","No","No"
"26-2526858","Care in child’s home by a non-relative","No","No"
"26-2532919","Care by a relative","No","No"
"26-1361861","Daycare (centre-based or home-based)","No","No"
"26-1364436","Care in someone’s home by a non-relative","Yes","Yes"
"26-1355693","Daycare (centre-based or home-based)","Yes","No"
"26-2514963","Care in someone’s home by a non-relative","Yes","No"
"26-2989148","Daycare (centre-based or home-based)","Yes","Yes"
"26-1864415","Care by a relative","No","No"
"26-3816907","Care in someone’s home by a non-relative","No","Yes"
"26-1349441","Care in someone’s home by a non-relative","No","Yes"
"26-2529083","Care in child’s home by a non-relative","No","Yes"
"26-1343782","Daycare (centre-based or home-based)","No","No"
"26-1359129","Care in someone’s home by a non-relative","No","Yes"
"26-2524648","Care in child’s home by a non-relative","Yes","Yes"
"26-1368221","Daycare (centre-based or home-based)","No","No"
"26-2516218","Care in someone’s home by a non-relative","No","Yes"
"26-2519945","Care by a relative","Yes","Yes"
"26-3468761","Care by a relative","No","No"
"26-2512680","Daycare (centre-based or home-based)","Yes","No"
"26-1375961","Care by a relative","No","No"
"26-2537625","Care by a relative","No","No"
"26-1354336","Daycare (centre-based or home-based)","Yes","Yes"
"26-2495220","Care in someone’s home by a non-relative","Yes","Yes"
"26-3502432","Daycare (centre-based or home-based)","No","Yes"
"26-1347073","Care by a relative","No","No"
"26-1357430","Daycare (centre-based or home-based)","Yes","Yes"
"26-3812568","Care by a relative","Yes","Yes"
"26-1354643","Care in someone’s home by a non-relative","Yes","No"
"26-3503478","Care by a relative","No","No"
"26-2515112","Care in someone’s home by a non-relative","Yes","No"
"26-1378223","Care in child’s home by a non-relative","Yes","No"
"26-1353870","Care in someone’s home by a non-relative","Yes","Yes"
"26-2493007","Care in child’s home by a non-relative","Yes","Yes"
"26-1373482","Daycare (centre-based or home-based)","Yes","No"
"26-3507894","Care in someone’s home by a non-relative","Yes","Yes"
"26-1394913","Care by a relative","No","No"
"26-2986312","Daycare (centre-based or home-based)","No","Yes"
"26-2989573","Care by a relative","No","Yes"
"26-2987979","Care in child’s home by a non-relative","No","Yes"
"26-2532383","Care in child’s home by a non-relative","Yes","No"
"26-2537772","Care by a relative","No","Yes"
"26-2534116","Care in child’s home by a non-relative","Yes","No"
"26-2523217","Care in child’s home by a non-relative","No","Yes"
"26-1409495","Care by a relative","Yes","Yes"
"26-1345125","Care by a relative","No","No"
"26-1353555","Care in child’s home by a non-relative","No","Yes"
"26-2526298","Care in child’s home by a non-relative","Yes","No"
"26-1386695","Care in someone’s home by a non-relative","No","No"
"26-3467314","Daycare (centre-based or home-based)","No","No"
"26-2988920","Daycare (centre-based or home-based)","No","Yes"
"26-1359127","Care by a relative","No","No"
"26-1866213","Care in child’s home by a non-relative","No","Yes"
"26-1375891","Care in someone’s home by a non-relative","Yes","No"
"26-1384939","Care in someone’s home by a non-relative","Yes","No"
"26-2532689","Care in someone’s home by a non-relative","Yes","No"
"26-1406643","Daycare (centre-based or home-based)","Yes","Yes"
"26-1865312","Daycare (centre-based or home-based)","Yes","Yes"
"26-1393964","Daycare (centre-based or home-based)","No","Yes"
"26-1354431","Care by a relative","Yes","No"
"26-1394569","Care in someone’s home by a non-relative","No","No"
"26-1356947","Care by a relative","Yes","Yes"
"26-1867538","Care in someone’s home by a non-relative","No","Yes"
"26-2513830","Care in someone’s home by a non-relative","Yes","Yes"
"26-3469273","Daycare (centre-based or home-based)","Yes","Yes"
"26-1341570","Care in child’s home by a non-relative","No","Yes"
"26-1395187","Care in someone’s home by a non-relative","No","Yes"
"26-1862728","Care by a relative","No","No"
"26-3811364","Care by a relative","Yes","No"
"26-1364994","Care in child’s home by a non-relative","Yes","Yes"
"26-1365565","Daycare (centre-based or home-based)","No","Yes"
"26-1862108","Daycare (centre-based or home-based)","No","No"
"26-1861842","Care in child’s home by a non-relative","Yes","Yes"
"26-1372846","Daycare (centre-based or home-based)","No","No"
"26-2534895","Care by a relative","Yes","Yes"
"26-1355235","Care in someone’s home by a non-relative","Yes","No"
"26-2982251","Care in child’s home by a non-relative","Yes","Yes"
"26-1341145","Care in someone’s home by a non-relative","No","Yes"
"26-2989758","Care in someone’s home by a non-relative","Yes","No"
"26-2986312","Care in someone’s home by a non-relative","No","No"
"26-3468567","Care by a relative","Yes","Yes"
"26-2535726","Care in someone’s home by a non-relative","Yes","Yes"
"26-1356381","Care by a relative","No","Yes"
"26-3466374","Daycare (centre-based or home-based)","No","Yes"
"26-1366566","Care by a relative","No","Yes"
"26-3817650","Daycare (centre-based or home-based)","Yes","No"
"26-2984032","Care in someone’s home by a non-relative","Yes","No"
"26-3508063","Care in someone’s home by a non-relative","No","No"
"26-2531873","Care in someone’s home by a non-relative","Yes","Yes"
"26-1391476","Daycare (centre-based or home-based)","Yes","No"
"26-1867518","Care in someone’s home by a non-relative","No","No"
"26-1867280","Care in someone’s home by a non-relative","Yes","No"
"26-2499082","Care in child’s home by a non-relative","Yes","Yes"
"26-1868106","Care in child’s home by a non-relative","Yes","No"
"26-1356395","Care in child’s home by a non-relative","No","Yes"
"26-1358988","Care in someone’s home by a non-relative","No","Yes"
"26-2987700","Daycare (centre-based or home-based)","No","No"
"26-2981658","Care by a relative","Yes","Yes"
"26-3465127","Care by a relative","Yes","No"
"26-1352230","Care in someone’s home by a non-relative","No","Yes"
"26-2517348","Care in child’s home by a non-relative","No","Yes"
"26-3501505","Care by a relative","No","Yes"
"26-3469535","Care in someone’s home by a non-relative","Yes","Yes"
"26-1862938","Care in someone’s home by a non-relative","Yes","Yes"
"26-3462597","Care in someone’s home by a non-relative","Yes","Yes"
"26-1351768","Care by a relative","No","No"
"26-1367473","Care in someone’s home by a non-relative","No","Yes"
"26-1865430","Care in someone’s home by a non-relative","No","No"
"26-1359585","Daycare (centre-based or home-based)","Yes","No"
"26-3463012","Care in child’s home by a non-relative","Yes","Yes"
"26-1372846","Care by a relative","Yes","Yes"
"26-2531039","Care by a relative","Yes","Yes"
"26-1393729","Care in child’s home by a non-relative","No","No"
"26-1361338","Care in child’s home by a non-relative","Yes","No"
"26-3813967","Care in child’s home by a non-relative","No","Yes"
"26-2532664","Care by a relative","No","Yes"
"26-3828733","Care in child’s home by a non-relative","No","Yes"
"26-2527590","Care in child’s home by a non-relative","Yes","Yes"
"26-1865180","Daycare (centre-based or home-based)","Yes","Yes"
"26-1368153","Care in child’s home by a non-relative","Yes","No"
"26-1376890","Daycare (centre-based or home-based)","No","No"
"26-2539014","Care by a relative","Yes","Yes"
"26-3465635","Care in someone’s home by a non-relative","Yes","Yes"
"26-1377942","Care in someone’s home by a non-relative","Yes","No"
"26-1375582","Care by a relative","Yes","Yes"
"26-2522151","Care in child’s home by a non-relative","No","No"
"26-3826618","Care in child’s home by a non-relative","No","No"
"26-1392681","Care in child’s home by a non-relative","No","Yes"
"26-2519159","Care by a relative","No","Yes"
"26-3814143","Care by a relative","No","No"
"26-1403262","Care by a relative","Yes","No"
"26-3466500","Care in child’s home by a non-relative","No","No"
"26-2523335","Care in child’s home by a non-relative","No","No"
"26-3828993","Care by a relative","Yes","Yes"
"26-2537098","Daycare (centre-based or home-based)","Yes","Yes"
"26-1861025","Care by a relative","Yes","Yes"
"26-2525778","Care in someone’s home by a non-relative","No","Yes"
"26-1398635","Care in someone’s home by a non-relative","Yes","Yes"
"26-1409160","Care by a relative","Yes","No"
"26-2499639","Care in someone’s home by a non-relative","Yes","Yes"
"26-2982160","Care in someone’s home by a non-relative","No","Yes"
"26-3815066","Care by a relative","Yes","No"
"26-3502699","Care in someone’s home by a non-relative","Yes","No"
"26-1351325","Care by a relative","Yes","Yes"
"26-1346620","Care in someone’s home by a non-relative","No","No"
"26-1342439","Care in child’s home by a non-relative","No","No"
"26-1364486","Care in child’s home by a non-relative","Yes","No"
"26-3813264","Daycare (centre-based or home-based)","No","Yes"
"26-2528510","Care in child’s home by a non-relative","Yes","No"
"26-2517484","Daycare (centre-based or home-based)","No","Yes"
"26-2527220","Care by a relative","Yes","No"
"26-3818792","Care in child’s home by a non-relative","No","Yes"
"26-1404351","Daycare (centre-based or home-based)","No","Yes"
"26-2983062","Care in child’s home by a non-relative","No","No"
"26-3464719","Daycare (centre-based or home-based)","No","No"
"26-2529217","Daycare (centre-based or home-based)","No","No"
"26-1348931","Care in someone’s home by a non-relative","No","No"
"26-1399936","Care in child’s home by a non-relative","Yes","Yes"
"26-1866677","Care in child’s home by a non-relative","Yes","Yes"
"26-2537475","Care in someone’s home by a non-relative","Yes","No"
"26-1361879","Care in child’s home by a non-relative","Yes","Yes"
"26-2498621","Care by a relative","Yes","Yes"
"26-3468773","Daycare (centre-based or home-based)","Yes","No"
"26-1378829","Care in child’s home by a non-relative","No","Yes"
"26-1352403","Care in child’s home by a non-relative","Yes","Yes"
"26-1394586","Care in someone’s home by a non-relative","Yes","Yes"
"26-1405332","Care in child’s home by a non-relative","No","Yes"
"26-1364766","Care in child’s home by a non-relative","No","Yes"
"26-2536136","Care in child’s home by a non-relative","Yes","Yes"
"26-2497244","Care in someone’s home by a non-relative","No","Yes"
"26-1359016","Care in someone’s home by a non-relative","Yes","Yes"
"26-1864415","Care by a relative","Yes","No"
"26-1358799","Care by a relative","No","No"
"26-2987479","Care in someone’s home by a non-relative","Yes","No"
"26-1382288","Care in child’s home by a non-relative","Yes","Yes"
"26-1355542","Daycare (centre-based or home-based)","No","Yes"
"26-3468761","Care by a relative","No","No"
"26-1369661","Care in someone’s home by a non-relative","Yes","No"
"26-1378044","Daycare (centre-based or home-based)","Yes","Yes"
"26-1387944","Care in someone’s home by a non-relative","No","Yes"
"26-1866859","Daycare (centre-based or home-based)","Yes","No"
"26-3462461","Daycare (centre-based or home-based)","Yes","No"
"26-2526690","Care in child’s home by a non-relative","No","Yes"
"26-1383604","Care by a relative","No","Yes"
"26-1382095","Care in child’s home by a non-relative","Yes","No"
"26-1379854","Care in someone’s home by a non-relative","Yes","Yes"
"26-3506858","Daycare (centre-based or home-based)","No","Yes"
"26-2981795","Care by a relative","No","No"
"26-1388420","Care by a relative","No","Yes"
"26-3817650","Daycare (centre-based or home-based)","Yes","Yes"
"26-3829791","Care in someone’s home by a non-relative","No","No"
"26-3813302","Care by a relative","No","No"
"26-3813593","Care in child’s home by a non-relative","Yes","No"
"26-2536042","Care in child’s home by a non-relative","Yes","No"
"26-3505429","Care in someone’s home by a non-relative","Yes","Yes"
"26-1403963","Care by a relative","No","Yes"
"26-1369717","Care in someone’s home by a non-relative","No","No"
"26-3817919","Daycare (centre-based or home-based)","No","No"
"26-1866677","Daycare (centre-based or home-based)","Yes","Yes"
"26-1865334","Daycare (centre-based or home-based)","No","No"
"26-1407789","Care in child’s home by a non-relative","No","Yes"
"26-2528353","Care in someone’s home by a non-relative","No","Yes"
"26-3469901","Daycare (centre-based or home-based)","Yes","No"
"26-2525502","Care in someone’s home by a non-relative","Yes","Yes"
"26-1375582","Daycare (centre-based or home-based)","Yes","No"
"26-2537342","Daycare (centre-based or home-based)","No","No"
"26-1356270","Daycare (centre-based or home-based)","Yes","Yes"
"26-1367154","Daycare (centre-based or home-based)","No","No"
"26-1344459","Care by a relative","Yes","No"
"26-1398740","Care in someone’s home by a non-relative","No","Yes"
"26-2536292","Care by a relative","Yes","Yes"
"26-3817986","Daycare (centre-based or home-based)","Yes","Yes"
"26-2532954","Care in someone’s home by a non-relative","No","No"
"26-1863035","Care in someone’s home by a non-relative","No","Yes"
"26-1386052","Care in child’s home by a non-relative","No","No"
"26-1367928","Daycare (centre-based or home-based)","No","Yes"
"26-3501211","Care by a relative","No","No"
"26-1405907","Care in someone’s home by a non-relative","Yes","No"
"26-2526889","Care in someone’s home by a non-relative","Yes","No"
"26-1354921","Care in child’s home by a non-relative","Yes","Yes"
"26-1352464","Care by a relative","No","No"
"26-1386794","Care in child’s home by a non-relative","No","Yes"
"26-2981795","Care in child’s home by a non-relative","No","Yes"
"26-1368608","Care by a relative","No","Yes"
"26-1348561","Care in child’s home by a non-relative","Yes","Yes"
"26-1386794","Care in someone’s home by a non-relative","No","Yes"
"26-1345037","Care by a relative","Yes","No"
"26-3465553","Care by a relative","No","No"
"26-1388012","Care in child’s home by a non-relative","Yes","No"
"26-2526485","Care in child’s home by a non-relative","Yes","Yes"
"26-2532609","Care in someone’s home by a non-relative","No","No"
"26-3468027","Care by a relative","Yes","No"
"26-2539014","Daycare (centre-based or home-based)","Yes","No"
"26-3828411","Daycare (centre-based or home-based)","Yes","Yes"
"26-1355572","Care in child’s home by a non-relative","No","Yes"
"26-3827310","Care by a relative","Yes","Yes"
"26-1402120","Care by a relative","No","Yes"
"26-1382079","Care in someone’s home by a non-relative","No","No"
"26-1408550","Daycare (centre-based or home-based)","No","No"
"26-3812434","Care in child’s home by a non-relative","Yes","Yes"
"26-1363265","Care by a relative","Yes","No"
"26-1374082","Care in child’s home by a non-relative","No","Yes"
"26-2513149","Care in child’s home by a non-relative","No","Yes"
"26-3828411","Care in someone’s home by a non-relative","No","No"
"26-1356744","Daycare (centre-based or home-based)","Yes","No"
"26-3462597","Care in child’s home by a non-relative","No","Yes"
"26-1358897","Care in someone’s home by a non-relative","Yes","Yes"
"26-1376768","Care by a relative","No","Yes"
"26-2525574","Care in someone’s home by a non-relative","No","No"
"26-2513090","Care by a relative","No","Yes"
"26-2518364","Care in child’s home by a non-relative","Yes","No"
"26-2519060","Care by a relative","Yes","No"
"26-2512303","Daycare (centre-based or home-based)","No","No"
"26-2528510","Care by a relative","No","No"
"26-1363576","Care by a relative","Yes","No"
"26-2539692","Care by a relative","No","Yes"
"26-3501211","Daycare (centre-based or home-based)","No","No"
"26-1345590","Care by a relative","No","No"
"26-1369921","Daycare (centre-based or home-based)","No","No"
"26-1345038","Daycare (centre-based or home-based)","No","No"
"26-3508420","Care in someone’s home by a non-relative","No","No"
"26-1357201","Daycare (centre-based or home-based)","No","Yes"
"26-2981066","Care in someone’s home by a non-relative","Yes","No"
"26-2531386","Care in someone’s home by a non-relative","No","Yes"
"26-1403931","Care in someone’s home by a non-relative","Yes","Yes"
"26-2534898","Care by a relative","Yes","No"
"26-1866094","Care by a relative","Yes","Yes"
"26-1376017","Care by a relative","Yes","No"
"26-2529352","Care by a relative","Yes","Yes"
"26-1402569","Daycare (centre-based or home-based)","Yes","No"
"26-3829773","Care in someone’s home by a non-relative","No","No"
"26-1341374","Care in child’s home by a non-relative","Yes","Yes"
"26-1357765","Care in child’s home by a non-relative","No","Yes"
"26-1377591","Care by a relative","Yes","Yes"
"26-3824256","Care in child’s home by a non-relative","Yes","Yes"
"26-1363079","Care in someone’s home by a non-relative","No","Yes"
"26-1867238","Care by a relative","No","No"
"26-2516245","Care in someone’s home by a non-relative","Yes","No"
"26-2982151","Care in someone’s home by a non-relative","No","No"
"26-2535676","Care by a relative","Yes","Yes"
"26-1408053","Daycare (centre-based or home-based)","Yes","Yes"
"26-1868588","Care by a relative","No","No"
"26-3504921","Care by a relative","No","No"
"26-1366340","Daycare (centre-based or home-based)","Yes","Yes"
"26-2513652","Care in someone’s home by a non-relative","No","No"
"26-1403921","Daycare (centre-based or home-based)","No","Yes"
"26-3811926","Care in someone’s home by a non-relative","Yes","Yes"
"26-3829773","Care by a relative","No","No"
"26-1361716","Daycare (centre-based or home-based)","Yes","No"
"26-2499928","Care in someone’s home by a non-relative","Yes","No"
"26-1408960","Care by a relative","No","No"
"26-1358921","Care in someone’s home by a non-relative","No","Yes"
"26-1356766","Care in child’s home by a non-relative","No","Yes"
"26-3465062","Daycare (centre-based or home-based)","Yes","Yes"
"26-2526459","Care in child’s home by a non-relative","No","No"
"26-3463974","Daycare (centre-based or home-based)","No","Yes"
"26-2987479","Daycare (centre-based or home-based)","Yes","Yes"
"26-3506858","Care in someone’s home by a non-relative","Yes","No"
"26-1392870","Care in child’s home by a non-relative","No","Yes"
"26-2988163","Care in child’s home by a non-relative","Yes","No"
"26-2493459","Care in someone’s home by a non-relative","No","Yes"
"26-2496978","Care by a relative","Yes","Yes"
"26-1403931","Care by a relative","Yes","Yes"
"26-1364988","Care in someone’s home by a non-relative","Yes","Yes"
"26-1408841","Care by a relative","No","No"
"26-1867289","Daycare (centre-based or home-based)","Yes","No"
"26-2985739","Care in child’s home by a non-relative","No","No"
"26-1861076","Care by a relative","Yes","No"
"26-1406674","Care in someone’s home by a non-relative","Yes","Yes"
"26-1385918","Care in someone’s home by a non-relative","No","No"
"26-1391739","Care in someone’s home by a non-relative","No","Yes"
"26-1353555","Care in child’s home by a non-relative","No","No"
"26-3465553","Care by a relative","No","Yes"
"26-1861020","Care in someone’s home by a non-relative","No","Yes"
"26-3818699","Care in child’s home by a non-relative","No","Yes"
"26-1397896","Care in someone’s home by a non-relative","Yes","No"
"26-2985332","Care in someone’s home by a non-relative","No","No"
"26-1344227","Care in someone’s home by a non-relative","No","Yes"
"26-2494978","Care in someone’s home by a non-relative","No","Yes"
"26-2531687","Care in someone’s home by a non-relative","No","No"
"26-2527422","Care in someone’s home by a non-relative","Yes","No"
"26-3818371","Care in child’s home by a non-relative","Yes","No"
"26-3811664","Daycare (centre-based or home-based)","No","Yes"
"26-2988088","Care in child’s home by a non-relative","Yes","Yes"
"26-1356395","Care in child’s home by a non-relative","Yes","Yes"
"26-3504278","Care by a relative","Yes","Yes"
"26-1399936","Care by a relative","Yes","Yes"
"26-1351869","Care in someone’s home by a non-relative","No","Yes"
"26-1371914","Care by a relative","Yes","Yes"
"26-1865530","Care by a relative","Yes","No"
"26-1386695","Care in someone’s home by a non-relative","Yes","Yes"
"26-2499928","Care in someone’s home by a non-relative","Yes","Yes"
"26-3818649","Daycare (centre-based or home-based)","No","Yes"
"26-3469970","Care in someone’s home by a non-relative","No","Yes"
"26-1378730","Care in someone’s home by a non-relative","No","No"
"26-3817919","Care in someone’s home by a non-relative","Yes","No"
"26-3506757","Care in child’s home by a non-relative","No","No"
"26-3506438","Care in child’s home by a non-relative","Yes","Yes"
"26-2524946","Care in someone’s home by a non-relative","No","No"
"26-3468357","Daycare (centre-based or home-based)","Yes","Yes"
"26-3468389","Care in someone’s home by a non-relative","Yes","Yes"
"26-3467118","Care by a relative","Yes","No"
"26-1356947","Care in child’s home by a non-relative","No","Yes"
"26-2982073","Care by a relative","No","No"
"26-1396556","Care in someone’s home by a non-relative","No","No"
"26-1382079","Care in child’s home by a non-relative","No","No"
"26-1396981","Care by a relative","Yes","Yes"
"26-3813331","Care in someone’s home by a non-relative","Yes","Yes"
"26-1393753","Care in child’s home by a non-relative","Yes","No"
"26-1869156","Daycare (centre-based or home-based)","Yes","Yes"
"26-3507830","Care in someone’s home by a non-relative","Yes","No"
"26-1361623","Care in someone’s home by a non-relative","No","No"
"26-1407988","Daycare (centre-based or home-based)","Yes","No"
"26-3822188","Care in someone’s home by a non-relative","No","Yes"
"26-2524726","Daycare (centre-based or home-based)","No","No"
"26-3504938","Care by a relative","Yes","Yes"
"26-3507087","Care in child’s home by a non-relative","No","Yes"
"26-1352865","Care by a relative","No","No"
"26-1354516","Care in child’s home by a non-relative","No","No"
"26-3506858","Care by a relative","No","Yes"
"26-2537591","Daycare (centre-based or home-based)","No","Yes"
"26-3468761","Daycare (centre-based or home-based)","No","Yes"
"26-1402216","Care by a relative","Yes","No"
"26-2527083","Care in someone’s home by a non-relative","No","No"
"26-1393724","Care in child’s home by a non-relative","Yes","No"
"26-3812434","Care by a relative","Yes","Yes"
"26-2523261","Care in someone’s home by a non-relative","Yes","Yes"
"26-1377295","Care by a relative","No","Yes"
"26-1377591","Care by a relative","No","Yes"
"26-2531865","Care by a relative","Yes","Yes"
