"subject","instanceid","FAMILY_INCOM"
"26-2987348",921788,"$150,000 or more"
"26-2987348",2480779,"$150,000 or more"
"26-2987479",621981,"$100,000 to $149,999"
"26-2987479",1430924,"$100,000 to $149,999"
"26-2987495",1548595,"$30,000 to $39,999"
"26-2987495",1897252,"$30,000 to $39,999"
"26-2987609",1111290,"$150,000 or more"
"26-2987700",324638,"$50,000 to $59,999"
"26-2987732",1210261,"$150, 000 to $199, 999"
"26-2987732",1842068,"$150, 000 to $199, 999"
"26-2987732",2073665,"$150, 000 to $199, 999"
"26-2987979",1938326,"$30,000 to $39,999"
"26-2988032",424776,"$150,000 or more"
"26-2988032",2029353,"$150,000 or more"
"26-2988045",375395,"$150, 000 to $199, 999"
"26-2988045",1678929,"$150, 000 to $199, 999"
"26-2988054",798782,"$100,000 to $149,999"
"26-2988054",1365398,"$100,000 to $149,999"
"26-2988054",1450189,"$100,000 to $149,999"
"26-2988085",1979939,"$200, 000 to $299, 999"
"26-2988088",655151,"$300, 000 to $499, 999"
"26-2988088",1039604,"$300, 000 to $499, 999"
"26-2988088",1444112,"$300, 000 to $499, 999"
"26-2988088",1737191,"$300, 000 to $499, 999"
"26-2988088",1957257,"$300, 000 to $499, 999"
"26-2988096",56861,"$150, 000 to $199, 999"
"26-2988148",124425,"$80,000 to $99,999"
"26-2988148",2593707,"$80,000 to $99,999"
"26-2988163",83858,"$200, 000 to $299, 999"
"26-2988189",236138,"$60,000 to $79,999"
"26-2988206",1213952,"$100,000 to $149,999"
"26-2988206",2287143,"$100,000 to $149,999"
"26-2988224",2512870,"$200, 000 to $299, 999"
"26-2988257",850990,"$150, 000 to $199, 999"
"26-2988257",885919,"$150, 000 to $199, 999"
"26-2988466",1523302,"$150,000 or more"
"26-2988474",460699,"$150, 000 to $199, 999"
"26-2988474",2253769,"$150, 000 to $199, 999"
"26-2988506",783192,"$100,000 to $149,999"
"26-2988506",964400,"$100,000 to $149,999"
"26-2988506",2231532,"$100,000 to $149,999"
"26-2988547",1110580,"$100,000 to $149,999"
"26-2988547",1342665,"$100,000 to $149,999"
"26-2988547",1417963,"$100,000 to $149,999"
"26-2988556",437107,"$60,000 to $79,999"
"26-2988556",1293016,"$60,000 to $79,999"
"26-2988578",1789286,"$100,000 to $149,999"
"26-2988578",2173757,"$100,000 to $149,999"
"26-2988578",2595413,"$100,000 to $149,999"
"26-2988583",271525,"$150, 000 to $199, 999"
"26-2988583",1961527,"$150, 000 to $199, 999"
"26-2988655",2358524,"$100,000 to $149,999"
"26-2988655",2415856,"$100,000 to $149,999"
"26-2988655",2584573,"$100,000 to $149,999"
"26-2988716",855310,"$100,000 to $149,999"
"26-2988716",1280680,"$100,000 to $149,999"
"26-2988716",1807932,"$100,000 to $149,999"
"26-2988888",531197,"$80,000 to $99,999"
"26-2988888",743342,"$80,000 to $99,999"
"26-2988888",865137,"$80,000 to $99,999"
"26-2988888",1173404,"$80,000 to $99,999"
"26-2988888",1324080,"$80,000 to $99,999"
"26-2988888",1496435,"$80,000 to $99,999"
"26-2988920",422472,"$200, 000 to $299, 999"
"26-2988920",472451,"$200, 000 to $299, 999"
"26-2988920",698234,"$200, 000 to $299, 999"
"26-2988990",658655,"$60,000 to $79,999"
"26-2988990",744835,"$60,000 to $79,999"
"26-2988990",789271,"$60,000 to $79,999"
"26-2989118",605776,"$150, 000 to $199, 999"
"26-2989118",745580,"$150, 000 to $199, 999"
"26-2989118",2179310,"$150, 000 to $199, 999"
"26-2989127",1871427,"$150, 000 to $199, 999"
"26-2989127",2230666,"$150, 000 to $199, 999"
"26-2989148",249631,"$40,000 to $49,999"
"26-2989148",625077,"$40,000 to $49,999"
"26-2989217",183116,"$200, 000 to $299, 999"
"26-2989217",725225,"$200, 000 to $299, 999"
"26-2989340",1353981,"$100,000 to $149,999"
"26-2989340",2193780,"$100,000 to $149,999"
"26-2989350",1616424,"$80,000 to $99,999"
"26-2989358",495800,"$100,000 to $149,999"
"26-2989358",1465628,"$100,000 to $149,999"
"26-2989358",2146084,"$100,000 to $149,999"
"26-2989573",338078,"$100,000 to $149,999"
"26-2989573",851671,"$100,000 to $149,999"
"26-2989573",1807145,"$100,000 to $149,999"
"26-2989573",2346339,"$100,000 to $149,999"
"26-2989717",87897,"$100,000 to $149,999"
"26-2989717",584441,"$100,000 to $149,999"
"26-2989717",2004966,"$100,000 to $149,999"
"26-2989717",2075432,"$100,000 to $149,999"
"26-2989739",944968,"$200, 000 to $299, 999"
"26-2989758",12620,"$150,000 or more"
"26-2989758",415960,"$150,000 or more"
"26-2989758",752285,"$150,000 or more"
"26-2989758",1087491,"$150,000 or more"
"26-2989758",1128608,"$150,000 or more"
"26-2989809",2111707,"$150, 000 to $199, 999"
"26-3461050",862376,"$150, 000 to $199, 999"
"26-3461061",483993,"$150,000 or more"
"26-3461256",11500,"$50,000 to $59,999"
"26-3461256",1665876,"$50,000 to $59,999"
"26-3461297",771769,"$150,000 or more"
"26-3461350",1692467,"$150, 000 to $199, 999"
"26-3461385",685083,"$200, 000 to $299, 999"
"26-3461385",785365,"$200, 000 to $299, 999"
"26-3461385",1335081,"$200, 000 to $299, 999"
"26-3461457",811043,"$10,000 to $19,999"
"26-3461462",1093503,"$100,000 to $149,999"
"26-3461462",1515651,"$100,000 to $149,999"
"26-3461462",1541282,"$100,000 to $149,999"
"26-3461789",1072104,"$40,000 to $49,999"
"26-3461789",2388916,"$40,000 to $49,999"
"26-3461991",206379,"$80,000 to $99,999"
"26-3461991",2513356,"$80,000 to $99,999"
"26-3462019",1074984,"$30,000 to $39,999"
"26-3462019",1389853,"$30,000 to $39,999"
"26-3462019",1971135,"$30,000 to $39,999"
"26-3462019",1992241,"$30,000 to $39,999"
"26-3462064",202402,"$500, 000 or more"
"26-3462064",1336503,"$500, 000 or more"
"26-3462222",197890,"$100,000 to $149,999"
"26-3462222",654453,"$100,000 to $149,999"
"26-3462222",909354,"$100,000 to $149,999"
"26-3462461",18786,"$100,000 to $149,999"
"26-3462461",210789,"$100,000 to $149,999"
"26-3462461",1181117,"$100,000 to $149,999"
"26-3462461",1926020,"$100,000 to $149,999"
"26-3462498",214463,"$40,000 to $49,999"
"26-3462498",445243,"$40,000 to $49,999"
"26-3462597",100590,"$50,000 to $59,999"
"26-3462597",1272269,"$50,000 to $59,999"
"26-3462597",2201138,"$50,000 to $59,999"
"26-3462597",2213121,"$50,000 to $59,999"
"26-3462597",2471414,"$50,000 to $59,999"
"26-3462714",40722,"$150, 000 to $199, 999"
"26-3462714",304358,"$150, 000 to $199, 999"
"26-3462714",1025530,"$150, 000 to $199, 999"
"26-3462714",1246366,"$150, 000 to $199, 999"
"26-3462714",2612278,"$150, 000 to $199, 999"
"26-3462714",2617391,"$150, 000 to $199, 999"
"26-3463012",584874,"$10,000 to $19,999"
"26-3463012",1111200,"$10,000 to $19,999"
"26-3463012",1484949,"$10,000 to $19,999"
"26-3463012",1490779,"$10,000 to $19,999"
"26-3463012",1916301,"$10,000 to $19,999"
"26-3463060",2059326,"$60,000 to $79,999"
"26-3463315",304507,"$150,000 or more"
"26-3463315",2529872,"$150,000 or more"
"26-3463438",1036015,"$150, 000 to $199, 999"
"26-3463438",1312907,"$150, 000 to $199, 999"
"26-3463455",306452,"$150,000 or more"
"26-3463455",1195332,"$150,000 or more"
"26-3463455",1965950,"$150,000 or more"
"26-3463606",1791193,"$100,000 to $149,999"
"26-3463606",2130363,"$100,000 to $149,999"
"26-3463606",2630374,"$100,000 to $149,999"
"26-3463626",1815955,"$200, 000 to $299, 999"
"26-3463680",1183696,"$150,000 or more"
"26-3463680",1993914,"$150,000 or more"
"26-3463862",1233079,"$150,000 or more"
"26-3463862",2512304,"$150,000 or more"
"26-3463862",2641645,"$150,000 or more"
"26-3463921",1392036,"$100,000 to $149,999"
"26-3463921",2154171,"$100,000 to $149,999"
"26-3463923",1577384,"$100,000 to $149,999"
"26-3463923",2442598,"$100,000 to $149,999"
"26-3463965",2279920,"$80,000 to $99,999"
"26-3463974",711343,"$150, 000 to $199, 999"
"26-3463974",887120,"$150, 000 to $199, 999"
"26-3463974",1288082,"$150, 000 to $199, 999"
"26-3463974",2407514,"$150, 000 to $199, 999"
"26-3464167",10920,"$150, 000 to $199, 999"
"26-3464313",808418,"$200, 000 to $299, 999"
"26-3464313",2505090,"$200, 000 to $299, 999"
"26-3464518",1462471,"$40,000 to $49,999"
"26-3464518",1550812,"$40,000 to $49,999"
"26-3464518",2087318,"$40,000 to $49,999"
"26-3464527",193125,"$100,000 to $149,999"
"26-3464527",2642825,"$100,000 to $149,999"
"26-3464538",2131242,"Less than $10,000"
"26-3464574",2292824,"$50,000 to $59,999"
"26-3464598",1706915,"$20,000 to $29,999"
"26-3464598",2424471,"$20,000 to $29,999"
"26-3464719",774514,"$50,000 to $59,999"
"26-3464852",883449,"$100,000 to $149,999"
"26-3464852",2543425,"$100,000 to $149,999"
"26-3464875",1392085,"$80,000 to $99,999"
"26-3464875",1456763,"$80,000 to $99,999"
"26-3464875",2521798,"$80,000 to $99,999"
"26-3465021",1536562,"$80,000 to $99,999"
"26-3465024",14728,"$100,000 to $149,999"
"26-3465024",609206,"$100,000 to $149,999"
"26-3465024",1714733,"$100,000 to $149,999"
"26-3465061",1918074,"$150, 000 to $199, 999"
"26-3465062",1176335,"Less than $10,000"
"26-3465062",1196492,"Less than $10,000"
"26-3465062",2506442,"Less than $10,000"
"26-3465127",1444215,"$100,000 to $149,999"
"26-3465127",2389373,"$100,000 to $149,999"
"26-3465544",486103,"$300, 000 to $499, 999"
"26-3465544",1781961,"$300, 000 to $499, 999"
"26-3465553",429611,"$500, 000 or more"
"26-3465553",851165,"$500, 000 or more"
"26-3465553",888641,"$500, 000 or more"
"26-3465553",2268384,"$500, 000 or more"
"26-3465553",2365255,"$500, 000 or more"
"26-3465623",663228,"$100,000 to $149,999"
"26-3465623",1124724,"$100,000 to $149,999"
"26-3465623",1467912,"$100,000 to $149,999"
"26-3465623",2193639,"$100,000 to $149,999"
"26-3465635",621936,"$200, 000 to $299, 999"
"26-3465635",1422077,"$200, 000 to $299, 999"
"26-3465635",1588188,"$200, 000 to $299, 999"
"26-3465635",1668115,"$200, 000 to $299, 999"
"26-3465703",1133092,"$150,000 or more"
"26-3465919",731377,"$100,000 to $149,999"
"26-3465919",1005062,"$100,000 to $149,999"
"26-3465919",1148832,"$100,000 to $149,999"
"26-3465919",2384869,"$100,000 to $149,999"
"26-3465919",2514858,"$100,000 to $149,999"
"26-3466338",1067383,"$20,000 to $29,999"
"26-3466338",1549752,"$20,000 to $29,999"
"26-3466364",204737,"$100,000 to $149,999"
"26-3466364",2057582,"$100,000 to $149,999"
"26-3466374",2284334,"$80,000 to $99,999"
"26-3466379",1645993,"$150, 000 to $199, 999"
"26-3466465",1292963,"$150, 000 to $199, 999"
"26-3466465",1389974,"$150, 000 to $199, 999"
"26-3466497",231078,"$80,000 to $99,999"
"26-3466497",1338266,"$80,000 to $99,999"
"26-3466500",706534,"$100,000 to $149,999"
"26-3466500",861036,"$100,000 to $149,999"
"26-3466500",1377471,"$100,000 to $149,999"
"26-3466525",2077678,"$150,000 or more"
"26-3466590",213344,"$200, 000 to $299, 999"
"26-3466590",973377,"$200, 000 to $299, 999"
"26-3466628",2023812,"$150, 000 to $199, 999"
"26-3466804",507328,"$80,000 to $99,999"
"26-3466804",885709,"$80,000 to $99,999"
"26-3466804",1018482,"$80,000 to $99,999"
"26-3466804",2198677,"$80,000 to $99,999"
"26-3466804",2260172,"$80,000 to $99,999"
"26-3466804",2342144,"$80,000 to $99,999"
"26-3466909",1306151,"$300, 000 to $499, 999"
"26-3466909",2028790,"$300, 000 to $499, 999"
"26-3467111",432341,"$150,000 or more"
"26-3467111",1157369,"$150,000 or more"
"26-3467111",2414093,"$150,000 or more"
"26-3467111",2550335,"$150,000 or more"
"26-3467118",267217,"$150, 000 to $199, 999"
"26-3467118",404595,"$150, 000 to $199, 999"
"26-3467118",944466,"$150, 000 to $199, 999"
"26-3467118",2112557,"$150, 000 to $199, 999"
"26-3467147",139413,"$50,000 to $59,999"
"26-3467251",217807,"$100,000 to $149,999"
"26-3467251",889409,"$100,000 to $149,999"
"26-3467251",1162146,"$100,000 to $149,999"
"26-3467251",1176417,"$100,000 to $149,999"
"26-3467251",1185692,"$100,000 to $149,999"
"26-3467251",1345759,"$100,000 to $149,999"
"26-3467314",324266,"Less than $10,000"
"26-3467314",510946,"Less than $10,000"
"26-3467314",751932,"Less than $10,000"
"26-3467314",1057920,"Less than $10,000"
"26-3467314",2177494,"Less than $10,000"
"26-3467322",2091834,"$80,000 to $99,999"
"26-3467334",746018,"$150,000 or more"
"26-3467345",1646809,"$100,000 to $149,999"
"26-3467393",682471,"$100,000 to $149,999"
"26-3467393",810753,"$100,000 to $149,999"
"26-3467595",1562931,"$150, 000 to $199, 999"
"26-3467595",2268695,"$150, 000 to $199, 999"
"26-3467698",925318,"$80,000 to $99,999"
"26-3467698",1395415,"$80,000 to $99,999"
"26-3467737",1041266,"$80,000 to $99,999"
"26-3467737",2204619,"$80,000 to $99,999"
"26-3467849",550549,"$60,000 to $79,999"
"26-3467849",1638177,"$60,000 to $79,999"
"26-3467849",1953063,"$60,000 to $79,999"
"26-3467949",2021474,"$150,000 or more"
"26-3467949",2399030,"$150,000 or more"
"26-3467949",2588562,"$150,000 or more"
"26-3467952",1071172,"$100,000 to $149,999"
"26-3467952",2059451,"$100,000 to $149,999"
"26-3467979",1696255,"$100,000 to $149,999"
"26-3468027",464447,"$60,000 to $79,999"
"26-3468216",541713,"$100,000 to $149,999"
"26-3468216",841336,"$100,000 to $149,999"
"26-3468266",788510,"$60,000 to $79,999"
"26-3468266",1618516,"$60,000 to $79,999"
"26-3468266",1670294,"$60,000 to $79,999"
"26-3468266",2110531,"$60,000 to $79,999"
"26-3468266",2201615,"$60,000 to $79,999"
"26-3468357",1795195,"$80,000 to $99,999"
"26-3468357",2035760,"$80,000 to $99,999"
"26-3468369",1190491,"$150, 000 to $199, 999"
"26-3468369",1915123,"$150, 000 to $199, 999"
"26-3468369",2254896,"$150, 000 to $199, 999"
"26-3468389",985591,"$150,000 or more"
"26-3468389",1773647,"$150,000 or more"
"26-3468389",1987272,"$150,000 or more"
"26-3468389",2389389,"$150,000 or more"
"26-3468405",915582,"$150,000 or more"
"26-3468405",1669726,"$150,000 or more"
"26-3468567",1272349,"$50,000 to $59,999"
"26-3468567",1312526,"$50,000 to $59,999"
"26-3468567",2079533,"$50,000 to $59,999"
"26-3468580",1243294,"$300, 000 to $499, 999"
"26-3468580",2259470,"$300, 000 to $499, 999"
"26-3468580",2431084,"$300, 000 to $499, 999"
"26-3468761",236245,"$150,000 or more"
"26-3468761",1256821,"$150,000 or more"
"26-3468761",1536591,"$150,000 or more"
"26-3468761",1935254,"$150,000 or more"
"26-3468761",2565990,"$150,000 or more"
"26-3468773",985426,"$300, 000 to $499, 999"
"26-3469015",978219,"$150,000 or more"
"26-3469015",1871135,"$150,000 or more"
"26-3469077",862714,"$200, 000 to $299, 999"
"26-3469077",1166474,"$200, 000 to $299, 999"
"26-3469077",1228115,"$200, 000 to $299, 999"
"26-3469273",784212,"$150,000 or more"
"26-3469273",1192258,"$150,000 or more"
"26-3469273",2502149,"$150,000 or more"
"26-3469294",290479,"$20,000 to $29,999"
"26-3469294",538180,"$20,000 to $29,999"
"26-3469294",1198934,"$20,000 to $29,999"
"26-3469294",1495774,"$20,000 to $29,999"
"26-3469294",1687698,"$20,000 to $29,999"
"26-3469340",1276672,"$100,000 to $149,999"
"26-3469340",1340632,"$100,000 to $149,999"
"26-3469363",949007,"$50,000 to $59,999"
"26-3469535",317119,"$150, 000 to $199, 999"
"26-3469535",1626767,"$150, 000 to $199, 999"
"26-3469619",2255493,"$30,000 to $39,999"
"26-3469663",270072,"$150,000 or more"
"26-3469663",1960127,"$150,000 or more"
"26-3469701",648503,"$50,000 to $59,999"
"26-3469701",807752,"$50,000 to $59,999"
"26-3469701",1377950,"$50,000 to $59,999"
"26-3469836",596536,"$200, 000 to $299, 999"
"26-3469836",1498984,"$200, 000 to $299, 999"
"26-3469836",2283036,"$200, 000 to $299, 999"
"26-3469836",2570669,"$200, 000 to $299, 999"
"26-3469864",280950,"$80,000 to $99,999"
"26-3469864",556630,"$80,000 to $99,999"
"26-3469864",1094279,"$80,000 to $99,999"
"26-3469901",72318,"$300, 000 to $499, 999"
"26-3469901",1345778,"$300, 000 to $499, 999"
"26-3469901",1415646,"$300, 000 to $499, 999"
"26-3469901",2419084,"$300, 000 to $499, 999"
"26-3469901",2443094,"$300, 000 to $499, 999"
"26-3469954",203553,"$150,000 or more"
"26-3469954",916853,"$150,000 or more"
"26-3469954",1229384,"$150,000 or more"
"26-3469954",2068707,"$150,000 or more"
"26-3469954",2157615,"$150,000 or more"
"26-3469954",2355704,"$150,000 or more"
"26-3469970",548235,"$150, 000 to $199, 999"
"26-3469970",1650620,"$150, 000 to $199, 999"
"26-3501211",142627,"$300, 000 to $499, 999"
"26-3501211",787313,"$300, 000 to $499, 999"
"26-3501211",1471529,"$300, 000 to $499, 999"
"26-3501211",1640659,"$300, 000 to $499, 999"
"26-3501211",1841358,"$300, 000 to $499, 999"
"26-3501211",2596919,"$300, 000 to $499, 999"
"26-3501229",983673,"$60,000 to $79,999"
"26-3501229",2560322,"$60,000 to $79,999"
"26-3501272",491421,"$200, 000 to $299, 999"
"26-3501272",2175007,"$200, 000 to $299, 999"
"26-3501345",905171,"$150, 000 to $199, 999"
"26-3501345",2342776,"$150, 000 to $199, 999"
"26-3501361",2373521,"$150, 000 to $199, 999"
"26-3501464",244984,"$100,000 to $149,999"
"26-3501464",2216013,"$100,000 to $149,999"
"26-3501478",352632,"$150,000 or more"
"26-3501478",622479,"$150,000 or more"
"26-3501478",2257848,"$150,000 or more"
"26-3501478",2317697,"$150,000 or more"
"26-3501505",716450,"$20,000 to $29,999"
"26-3501505",833469,"$20,000 to $29,999"
"26-3501505",1089140,"$20,000 to $29,999"
"26-3501505",1124108,"$20,000 to $29,999"
"26-3501505",1251583,"$20,000 to $29,999"
"26-3501546",130520,"$500, 000 or more"
"26-3501603",269350,"$200, 000 to $299, 999"
"26-3501662",207963,"$150, 000 to $199, 999"
"26-3501662",331697,"$150, 000 to $199, 999"
"26-3501662",2069083,"$150, 000 to $199, 999"
"26-3501692",1089889,"$100,000 to $149,999"
"26-3501692",2037560,"$100,000 to $149,999"
"26-3501692",2242375,"$100,000 to $149,999"
"26-3501709",936925,"$50,000 to $59,999"
"26-3501709",2317249,"$50,000 to $59,999"
"26-3501750",650980,"$40,000 to $49,999"
"26-3501750",985809,"$40,000 to $49,999"
"26-3501765",164411,"$10,000 to $19,999"
"26-3501765",1609736,"$10,000 to $19,999"
"26-3501767",422534,"$80,000 to $99,999"
"26-3501767",1377686,"$80,000 to $99,999"
"26-3501836",431952,"$30,000 to $39,999"
"26-3501836",1370561,"$30,000 to $39,999"
"26-3501836",1822238,"$30,000 to $39,999"
"26-3501836",1934737,"$30,000 to $39,999"
"26-3501836",2277622,"$30,000 to $39,999"
"26-3501860",57026,"$50,000 to $59,999"
"26-3501983",352382,"$80,000 to $99,999"
"26-3502058",2442094,"$150,000 or more"
"26-3502058",2515710,"$150,000 or more"
"26-3502058",2561155,"$150,000 or more"
"26-3502149",1108462,"$100,000 to $149,999"
"26-3502149",1735520,"$100,000 to $149,999"
"26-3502149",2090340,"$100,000 to $149,999"
"26-3502149",2547526,"$100,000 to $149,999"
"26-3502432",1293233,"$150, 000 to $199, 999"
"26-3502432",1758914,"$150, 000 to $199, 999"
"26-3502447",223207,"$100,000 to $149,999"
"26-3502447",1550987,"$100,000 to $149,999"
"26-3502487",276666,"$150,000 or more"
"26-3502592",1270105,"$100,000 to $149,999"
"26-3502643",1572583,"$30,000 to $39,999"
"26-3502662",95458,"$300, 000 to $499, 999"
"26-3502699",279488,"$60,000 to $79,999"
"26-3502699",1821041,"$60,000 to $79,999"
"26-3502699",2416520,"$60,000 to $79,999"
"26-3502699",2618235,"$60,000 to $79,999"
"26-3502895",1395934,"$60,000 to $79,999"
"26-3502960",1704195,"$150, 000 to $199, 999"
"26-3502960",2026970,"$150, 000 to $199, 999"
"26-3503034",265075,"$200, 000 to $299, 999"
"26-3503034",1624292,"$200, 000 to $299, 999"
"26-3503034",1938017,"$200, 000 to $299, 999"
"26-3503034",2605889,"$200, 000 to $299, 999"
"26-3503062",792130,"$200, 000 to $299, 999"
"26-3503478",1728539,"$80,000 to $99,999"
"26-3503478",2175298,"$80,000 to $99,999"
"26-3503581",732442,"$300, 000 to $499, 999"
"26-3503581",1135483,"$300, 000 to $499, 999"
"26-3503763",1202137,"$80,000 to $99,999"
"26-3503808",1393190,"$100,000 to $149,999"
"26-3503808",2621895,"$100,000 to $149,999"
"26-3503860",747558,"$100,000 to $149,999"
"26-3503860",1830701,"$100,000 to $149,999"
"26-3503860",1919902,"$100,000 to $149,999"
"26-3503860",1942229,"$100,000 to $149,999"
"26-3504145",2014210,"$300, 000 to $499, 999"
"26-3504145",2082233,"$300, 000 to $499, 999"
"26-3504278",643551,"$100,000 to $149,999"
"26-3504278",2178860,"$100,000 to $149,999"
"26-3504278",2187299,"$100,000 to $149,999"
"26-3504337",248233,"$200, 000 to $299, 999"
"26-3504337",472528,"$200, 000 to $299, 999"
"26-3504337",894753,"$200, 000 to $299, 999"
"26-3504337",1971540,"$200, 000 to $299, 999"
"26-3504419",1173903,"$500, 000 or more"
"26-3504419",1270839,"$500, 000 or more"
"26-3504419",1574194,"$500, 000 or more"
"26-3504510",231202,"$80,000 to $99,999"
"26-3504510",1198915,"$80,000 to $99,999"
"26-3504510",1924079,"$80,000 to $99,999"
"26-3504603",268617,"$200, 000 to $299, 999"
"26-3504632",1657759,"$80,000 to $99,999"
"26-3504632",2077548,"$80,000 to $99,999"
"26-3504712",946387,"$50,000 to $59,999"
"26-3504712",1001754,"$50,000 to $59,999"
"26-3504712",1457335,"$50,000 to $59,999"
"26-3504714",600254,"$10,000 to $19,999"
"26-3504714",793688,"$10,000 to $19,999"
"26-3504714",883295,"$10,000 to $19,999"
"26-3504714",1907242,"$10,000 to $19,999"
"26-3504715",813458,"$60,000 to $79,999"
"26-3504715",1487999,"$60,000 to $79,999"
"26-3504715",1892643,"$60,000 to $79,999"
"26-3504790",1945325,"$150, 000 to $199, 999"
"26-3504902",310251,"$100,000 to $149,999"
"26-3504902",1861792,"$100,000 to $149,999"
"26-3504921",1593703,"$500, 000 or more"
"26-3504938",1526182,"$150,000 or more"
"26-3504938",2240563,"$150,000 or more"
"26-3504968",631276,"$80,000 to $99,999"
"26-3504968",1228856,"$80,000 to $99,999"
"26-3504968",1962833,"$80,000 to $99,999"
"26-3504968",2458118,"$80,000 to $99,999"
"26-3505066",1335474,"$20,000 to $29,999"
"26-3505066",1582566,"$20,000 to $29,999"
"26-3505071",1284762,"$20,000 to $29,999"
"26-3505071",2621280,"$20,000 to $29,999"
"26-3505077",152415,"$300, 000 to $499, 999"
"26-3505077",2323379,"$300, 000 to $499, 999"
"26-3505093",1230581,"$10,000 to $19,999"
"26-3505093",1620627,"$10,000 to $19,999"
"26-3505182",113559,"$200, 000 to $299, 999"
"26-3505182",1713755,"$200, 000 to $299, 999"
"26-3505361",700640,"$150, 000 to $199, 999"
"26-3505361",1002445,"$150, 000 to $199, 999"
"26-3505361",1726542,"$150, 000 to $199, 999"
"26-3505400",576570,"$200, 000 to $299, 999"
"26-3505400",706336,"$200, 000 to $299, 999"
"26-3505400",1698413,"$200, 000 to $299, 999"
"26-3505400",2551590,"$200, 000 to $299, 999"
"26-3505429",874526,"$80,000 to $99,999"
"26-3505429",1622436,"$80,000 to $99,999"
"26-3505429",2639256,"$80,000 to $99,999"
"26-3505462",70265,"$150,000 or more"
"26-3505546",119330,"$200, 000 to $299, 999"
"26-3505546",494460,"$200, 000 to $299, 999"
"26-3505546",551901,"$200, 000 to $299, 999"
"26-3505546",2005691,"$200, 000 to $299, 999"
"26-3505546",2433521,"$200, 000 to $299, 999"
"26-3505772",98368,"$80,000 to $99,999"
"26-3505772",1315973,"$80,000 to $99,999"
"26-3505785",284734,"$100,000 to $149,999"
"26-3505785",2413618,"$100,000 to $149,999"
"26-3505928",1035005,"$150, 000 to $199, 999"
"26-3505928",1572083,"$150, 000 to $199, 999"
"26-3505928",1696797,"$150, 000 to $199, 999"
"26-3505928",2466249,"$150, 000 to $199, 999"
"26-3505978",422611,"$200, 000 to $299, 999"
"26-3505978",758803,"$200, 000 to $299, 999"
"26-3505978",1029961,"$200, 000 to $299, 999"
"26-3505991",706629,"$150, 000 to $199, 999"
"26-3505991",2491371,"$150, 000 to $199, 999"
"26-3506047",1986116,"$150,000 or more"
"26-3506047",2147865,"$150,000 or more"
"26-3506047",2516377,"$150,000 or more"
"26-3506062",2019387,"$80,000 to $99,999"
"26-3506062",2078851,"$80,000 to $99,999"
"26-3506062",2486641,"$80,000 to $99,999"
"26-3506112",183611,"$150, 000 to $199, 999"
"26-3506112",1214299,"$150, 000 to $199, 999"
"26-3506112",2119359,"$150, 000 to $199, 999"
"26-3506112",2193735,"$150, 000 to $199, 999"
"26-3506124",268983,"$150, 000 to $199, 999"
"26-3506124",339382,"$150, 000 to $199, 999"
"26-3506124",1738855,"$150, 000 to $199, 999"
"26-3506124",2079549,"$150, 000 to $199, 999"
"26-3506329",275517,"$150,000 or more"
"26-3506346",1569772,"$150,000 or more"
"26-3506346",2057060,"$150,000 or more"
"26-3506346",2428363,"$150,000 or more"
"26-3506438",677224,"$60,000 to $79,999"
"26-3506438",2354952,"$60,000 to $79,999"
"26-3506616",609069,"$150, 000 to $199, 999"
"26-3506616",2019832,"$150, 000 to $199, 999"
"26-3506757",337117,"$150, 000 to $199, 999"
"26-3506757",669100,"$150, 000 to $199, 999"
"26-3506757",733428,"$150, 000 to $199, 999"
"26-3506757",842304,"$150, 000 to $199, 999"
"26-3506787",106388,"$200, 000 to $299, 999"
"26-3506858",83314,"$100,000 to $149,999"
"26-3506858",760403,"$100,000 to $149,999"
"26-3506858",1843020,"$100,000 to $149,999"
"26-3506858",2029421,"$100,000 to $149,999"
"26-3506858",2414906,"$100,000 to $149,999"
"26-3507080",40605,"$100,000 to $149,999"
"26-3507087",173372,"$40,000 to $49,999"
"26-3507087",1244614,"$40,000 to $49,999"
"26-3507087",1502965,"$40,000 to $49,999"
"26-3507108",336647,"$300, 000 to $499, 999"
"26-3507108",2292051,"$300, 000 to $499, 999"
"26-3507216",469500,"$10,000 to $19,999"
"26-3507216",1191865,"$10,000 to $19,999"
"26-3507253",925018,"$150,000 or more"
"26-3507299",1470523,"$150, 000 to $199, 999"
"26-3507299",2552237,"$150, 000 to $199, 999"
"26-3507317",692451,"$300, 000 to $499, 999"
"26-3507317",2366656,"$300, 000 to $499, 999"
"26-3507318",1321503,"$20,000 to $29,999"
"26-3507449",50032,"$100,000 to $149,999"
"26-3507449",132927,"$100,000 to $149,999"
"26-3507449",446892,"$100,000 to $149,999"
"26-3507449",666016,"$100,000 to $149,999"
"26-3507449",1848121,"$100,000 to $149,999"
"26-3507462",229492,"$100,000 to $149,999"
"26-3507519",61998,"$20,000 to $29,999"
"26-3507519",441759,"$20,000 to $29,999"
"26-3507519",563193,"$20,000 to $29,999"
"26-3507519",1712779,"$20,000 to $29,999"
"26-3507519",2432429,"$20,000 to $29,999"
"26-3507599",1814668,"$60,000 to $79,999"
"26-3507599",2261306,"$60,000 to $79,999"
"26-3507599",2441427,"$60,000 to $79,999"
"26-3507650",1218262,"$20,000 to $29,999"
"26-3507650",1329167,"$20,000 to $29,999"
"26-3507650",1452287,"$20,000 to $29,999"
"26-3507650",1824176,"$20,000 to $29,999"
